Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
0,0,0.00044915764205056,0.000195982096690976,1.00000000213644,1.00000000014265,-7.83927971559351e-06,-0.000449157162021499,0.000317602414203898,44.9999999428823
0.1,9.06177491277544e-07,0.000450054997336641,0.000196767063259354,1.00399746076682,0.997794007352473,-7.85349257936829e-06,-0.000450055341056702,0.00031789196339812,44.8224437625399
0.2,1.81596713810526e-06,0.000450950185929992,0.000197553436577856,1.00798769133744,0.995176127120949,-7.86454667212055e-06,-0.000450953347577108,0.00031811633836428,44.6335603990991
0.3,2.72936093998578e-06,0.000451842837933188,0.000198339809896357,1.0119674599969,0.992146629161891,-7.87241882171941e-06,-0.000451850376007119,0.00031827471737017,44.4333591414264
0.4,3.6463479774155e-06,0.000452732583772228,0.000199127589964982,1.0159335423986,0.988705962078222,-7.8770872111722e-06,-0.000452747237168188,0.000318366193001052,44.2218403780274
0.5,4.56691441638203e-06,0.000453619054354472,0.000199915370033606,1.01988271867935,0.9848547493921,-7.87853138572991e-06,-0.000453641521798481,0.000318389772959413,43.9989958092112
0.6,5.49104351465143e-06,0.000454501881226381,0.00020070244672717,1.02381177731278,0.980593790285768,-7.87673230506769e-06,-0.000454534848790821,0.000318344380452803,43.7648085425101
0.7,6.41871562984165e-06,0.000455380696730965,0.000201490226795795,1.02771751657953,0.975924058981389,-7.87167236881992e-06,-0.000455425623237768,0.000318228854036223,43.5192532180795
0.8,7.34990822927789e-06,0.000456255134164895,0.000202276600114297,1.0315967466693,0.970846704387203,-7.86333546076712e-06,-0.000456313860087861,0.000318041948013501,43.2622961262498
0.9,8.28459590162423e-06,0.000457124827935188,0.0002030629734328,1.03544629160565,0.965363049575043,-7.85170698192061e-06,-0.000457199574131057,0.000317782332406877,42.9938953283837
1,9.22275037028527e-06,0.000457989413715414,0.000203847236626119,1.03926299120888,0.959474591205797,-7.8367738858276e-06,-0.000458081984369696,0.000317448592994751,42.7140007793325
1.1,1.01643405085703e-05,0.000458848528601341,0.000204629389694255,1.04304370303785,0.953182998870764,-7.81852470987943e-06,-0.000458960315750958,0.000317039231196204,42.4225544532889
1.2,1.11093323566118e-05,0.000459701811265958,0.000205410136012268,1.04678530432549,0.946490114360249,-7.79694961106081e-06,-0.000459835384246887,0.000316552664156646,42.119490474138
